label_bias,words,label_opinion,group_id,text
Non-biased,exploit,Entirely factual,50,That has led to fears that gangs could exploit undocumented migrants already in the country for cheap labor
Biased,bragging,Entirely factual,41,The 2010s saw the U.S. economy achieve its longest-ever expansion
Biased,unemployment rate,Expresses writer’s opinion,41,The 2010s saw the U.S. economy achieve its longest-ever expansion
Biased,easy,Expresses writer’s opinion,41,The 2010s saw the U.S. economy achieve its longest-ever expansion
Biased,easy bragging points,Somewhat factual but also opinionated,41,The 2010s saw the U.S. economy achieve its longest-ever expansion
Biased,not rocket science,Somewhat factual but also opinionated,83,Closing the gender pay gap is not rocket science – even though recently graduated female rocket scientists earn 89 cents on the dollar to their male peers.
Biased,rocket science,Somewhat factual but also opinionated,83,Closing the gender pay gap is not rocket science – even though recently graduated female rocket scientists earn 89 cents on the dollar to their male peers.
Biased,rocket science,Somewhat factual but also opinionated,83,Closing the gender pay gap is not rocket science – even though recently graduated female rocket scientists earn 89 cents on the dollar to their male peers.
Non-biased,rocket science,Somewhat factual but also opinionated,83,Closing the gender pay gap is not rocket science – even though recently graduated female rocket scientists earn 89 cents on the dollar to their male peers.
Biased,rocket science,Somewhat factual but also opinionated,83,Closing the gender pay gap is not rocket science – even though recently graduated female rocket scientists earn 89 cents on the dollar to their male peers.
Biased,rocket science,Somewhat factual but also opinionated,83,Closing the gender pay gap is not rocket science – even though recently graduated female rocket scientists earn 89 cents on the dollar to their male peers.
Biased,mocked ,Expresses writer’s opinion,27,President Donald Trump in an interview on Tuesday mocked former Vice President Joe Biden for continuing to wear a mask. The president pointed to a speech that Biden gave on Tuesday about race relations
Biased,mocked,Somewhat factual but also opinionated,27,President Donald Trump in an interview on Tuesday mocked former Vice President Joe Biden for continuing to wear a mask. The president pointed to a speech that Biden gave on Tuesday about race relations
Biased,mocked ,Somewhat factual but also opinionated,27,President Donald Trump in an interview on Tuesday mocked former Vice President Joe Biden for continuing to wear a mask. The president pointed to a speech that Biden gave on Tuesday about race relations
Non-biased,mocked ,Entirely factual,27,President Donald Trump in an interview on Tuesday mocked former Vice President Joe Biden for continuing to wear a mask. The president pointed to a speech that Biden gave on Tuesday about race relations
Biased,mocked ,Expresses writer’s opinion,27,President Donald Trump in an interview on Tuesday mocked former Vice President Joe Biden for continuing to wear a mask. The president pointed to a speech that Biden gave on Tuesday about race relations
Biased,mocked,Somewhat factual but also opinionated,27,President Donald Trump in an interview on Tuesday mocked former Vice President Joe Biden for continuing to wear a mask. The president pointed to a speech that Biden gave on Tuesday about race relations
Biased,mocked,Expresses writer’s opinion,27,President Donald Trump in an interview on Tuesday mocked former Vice President Joe Biden for continuing to wear a mask. The president pointed to a speech that Biden gave on Tuesday about race relations
Biased,mocked,Somewhat factual but also opinionated,27,President Donald Trump in an interview on Tuesday mocked former Vice President Joe Biden for continuing to wear a mask. The president pointed to a speech that Biden gave on Tuesday about race relations
Biased,different ,Somewhat factual but also opinionated,67,The transgender effort to suppress any recognition that men and women are different and complementary would not matter except for the movement’s political alliance with wealthy progressives and radical feminists who wish to destroy the political power of the male-and-female family.
Biased,political alliance with wealthy progressives,Expresses writer’s opinion,67,The transgender effort to suppress any recognition that men and women are different and complementary would not matter except for the movement’s political alliance with wealthy progressives and radical feminists who wish to destroy the political power of the male-and-female family.
Biased,suppress ,Expresses writer’s opinion,67,The transgender effort to suppress any recognition that men and women are different and complementary would not matter except for the movement’s political alliance with wealthy progressives and radical feminists who wish to destroy the political power of the male-and-female family.
Biased,beauty ,Expresses writer’s opinion,49,The beauty routine for prominent women who work and live under the eye of a camera can include not just haircuts
Non-biased,prominent,Entirely factual,49,The beauty routine for prominent women who work and live under the eye of a camera can include not just haircuts
Non-biased,prominent,Entirely factual,49,The beauty routine for prominent women who work and live under the eye of a camera can include not just haircuts
Non-biased,prominent,Entirely factual,49,The beauty routine for prominent women who work and live under the eye of a camera can include not just haircuts
Biased,radical,Expresses writer’s opinion,30,Sen. Elizabeth Warren's radical immigration plans involves decriminalizing illegal immigration
Biased,decriminalizing ,Expresses writer’s opinion,30,Sen. Elizabeth Warren's radical immigration plans involves decriminalizing illegal immigration
Biased,radical,Somewhat factual but also opinionated,30,Sen. Elizabeth Warren's radical immigration plans involves decriminalizing illegal immigration
Biased,radical,Somewhat factual but also opinionated,30,Sen. Elizabeth Warren's radical immigration plans involves decriminalizing illegal immigration
Biased,encouraging ,Entirely factual,25,And while states like Massachusetts—among others—automatically cancel debt if a borrower dies or becomes disabled
Biased,encouraging ,Expresses writer’s opinion,25,And while states like Massachusetts—among others—automatically cancel debt if a borrower dies or becomes disabled
Non-biased,different path,Entirely factual,25,And while states like Massachusetts—among others—automatically cancel debt if a borrower dies or becomes disabled
Biased,borrower dies,Expresses writer’s opinion,25,And while states like Massachusetts—among others—automatically cancel debt if a borrower dies or becomes disabled
Biased,off the hook,Somewhat factual but also opinionated,25,And while states like Massachusetts—among others—automatically cancel debt if a borrower dies or becomes disabled
Biased,anti-abortion,Entirely factual,23,President Donald Trump said Wednesday that he would become the first U.S. leader to attend the March for Life
Biased,fierce,Expresses writer’s opinion,23,President Donald Trump said Wednesday that he would become the first U.S. leader to attend the March for Life
Biased,fierce,Somewhat factual but also opinionated,23,President Donald Trump said Wednesday that he would become the first U.S. leader to attend the March for Life
Biased,attempt ,Expresses writer’s opinion,23,President Donald Trump said Wednesday that he would become the first U.S. leader to attend the March for Life
Biased,largest anti-abortion protests,Entirely factual,23,President Donald Trump said Wednesday that he would become the first U.S. leader to attend the March for Life
Biased,fierce ,Expresses writer’s opinion,5,A push by Virginia Democrats to loosen restrictions on late-term abortions is erupting into a fierce partisan clash as video of a legislative hearing goes viral.
Biased,horde,Somewhat factual but also opinionated,67,Radical Virginia Citizens Defense League has organized a rally in Richmond for January 20
Biased,horde of white nationalists.,Expresses writer’s opinion,67,Radical Virginia Citizens Defense League has organized a rally in Richmond for January 20
Biased,otential horde of white nationalists,Expresses writer’s opinion,67,Radical Virginia Citizens Defense League has organized a rally in Richmond for January 20
Biased,attracting ,Expresses writer’s opinion,67,Radical Virginia Citizens Defense League has organized a rally in Richmond for January 20
Biased,An illegal alien ,Expresses writer’s opinion,11,An illegal alien has been charged with enticing a 13-year-old girl through social media and raping her in Madison County
Biased,illegal,Expresses writer’s opinion,11,An illegal alien has been charged with enticing a 13-year-old girl through social media and raping her in Madison County
Biased,alien,Somewhat factual but also opinionated,11,An illegal alien has been charged with enticing a 13-year-old girl through social media and raping her in Madison County
Biased,depriving,Somewhat factual but also opinionated,42,A divided federal appeals court on Tuesday rejected Planned Parenthood’s constitutional challenge to an Ohio law depriving the organization of state funding because it performs abortions
Non-biased,depriving ,Entirely factual,42,A divided federal appeals court on Tuesday rejected Planned Parenthood’s constitutional challenge to an Ohio law depriving the organization of state funding because it performs abortions
Biased,handing a victory,Expresses writer’s opinion,42,A divided federal appeals court on Tuesday rejected Planned Parenthood’s constitutional challenge to an Ohio law depriving the organization of state funding because it performs abortions
Biased, victory to anti-abortion advocates,Expresses writer’s opinion,42,A divided federal appeals court on Tuesday rejected Planned Parenthood’s constitutional challenge to an Ohio law depriving the organization of state funding because it performs abortions
Biased,optimistic,Somewhat factual but also opinionated,15,As the United States women’s national team clinched their fourth World Cup title on Sunday
Non-biased,optimistic tone,Somewhat factual but also opinionated,15,As the United States women’s national team clinched their fourth World Cup title on Sunday
Non-biased,optimistic,Entirely factual,15,As the United States women’s national team clinched their fourth World Cup title on Sunday
Biased,optimistic ,Somewhat factual but also opinionated,15,As the United States women’s national team clinched their fourth World Cup title on Sunday
Biased, States women’s national te,Entirely factual,15,As the United States women’s national team clinched their fourth World Cup title on Sunday
Non-biased,clinched ,Expresses writer’s opinion,15,As the United States women’s national team clinched their fourth World Cup title on Sunday
Non-biased,optimistic tone,Somewhat factual but also opinionated,15,As the United States women’s national team clinched their fourth World Cup title on Sunday
Biased,complications ,Entirely factual,25,The doctors note that continuing abortions – some of which are likely to develop complications – place greater stress on a healthcare system that is under tremendous pressure at the current time.
Biased,tremendous,Expresses writer’s opinion,25,The doctors note that continuing abortions – some of which are likely to develop complications – place greater stress on a healthcare system that is under tremendous pressure at the current time.
Biased,tremendous pressure,Somewhat factual but also opinionated,25,The doctors note that continuing abortions – some of which are likely to develop complications – place greater stress on a healthcare system that is under tremendous pressure at the current time.
Biased,tremendous,Expresses writer’s opinion,25,The doctors note that continuing abortions – some of which are likely to develop complications – place greater stress on a healthcare system that is under tremendous pressure at the current time.
Non-biased,issues,Entirely factual,5,Poll workers and technicians reported issues with the new machines at more than 40% of polling locations in Philadelphia during last November’s election
Biased,his Republican brethren,Expresses writer’s opinion,85,The president and his Republican brethren made all kinds of predictions about what would happen if their tax plan passed
Biased,brethren,Somewhat factual but also opinionated,85,The president and his Republican brethren made all kinds of predictions about what would happen if their tax plan passed
Biased,turned out to be wrong,Entirely factual,85,The president and his Republican brethren made all kinds of predictions about what would happen if their tax plan passed
Biased,turned out to be wrong,Somewhat factual but also opinionated,85,The president and his Republican brethren made all kinds of predictions about what would happen if their tax plan passed
Biased,surprising advantages,Expresses writer’s opinion,60,Many people in politics and media are still not used to female power
Biased,female power,Expresses writer’s opinion,60,Many people in politics and media are still not used to female power
Biased,pointless,Somewhat factual but also opinionated,60,Many people in politics and media are still not used to female power
Non-biased,female power,Entirely factual,60,Many people in politics and media are still not used to female power
Biased,pointless problems,Somewhat factual but also opinionated,60,Many people in politics and media are still not used to female power
Biased,not used to female power,Somewhat factual but also opinionated,60,Many people in politics and media are still not used to female power
Biased,pointless,Somewhat factual but also opinionated,60,Many people in politics and media are still not used to female power
Non-biased,egalitarian,Entirely factual,58,A Gallup poll reports that women are still more likely to do laundry
Non-biased,egalitarian ,Entirely factual,58,A Gallup poll reports that women are still more likely to do laundry
Non-biased,egalitarian ,Entirely factual,58,A Gallup poll reports that women are still more likely to do laundry
Non-biased,egalitarian ,Somewhat factual but also opinionated,58,A Gallup poll reports that women are still more likely to do laundry
Non-biased,abandoned,Entirely factual,40,The trio ended up on the wet
Biased,smugglers,Somewhat factual but also opinionated,40,The trio ended up on the wet
Biased,abandoned,Somewhat factual but also opinionated,40,The trio ended up on the wet
Non-biased,abandoned ,Entirely factual,40,The trio ended up on the wet
Biased,abandoned,Somewhat factual but also opinionated,40,The trio ended up on the wet
Biased,posing awkwardly,Expresses writer’s opinion,6,And most egregiously
Non-biased,white supremacist ,Entirely factual,80,While emphasizing he’s not singling out either party
Non-biased,normalizing,Entirely factual,80,While emphasizing he’s not singling out either party
Non-biased,warned,Expresses writer’s opinion,80,While emphasizing he’s not singling out either party
Biased,anti-corruption,Expresses writer’s opinion,23,Senate Majority Leader Mitch McConnell shredded a House Democratic anti-corruption proposal on Wednesday over a provision that would make going to the polls a national holiday.
Biased,shredded,Somewhat factual but also opinionated,23,Senate Majority Leader Mitch McConnell shredded a House Democratic anti-corruption proposal on Wednesday over a provision that would make going to the polls a national holiday.
Biased,shredded,Expresses writer’s opinion,23,Senate Majority Leader Mitch McConnell shredded a House Democratic anti-corruption proposal on Wednesday over a provision that would make going to the polls a national holiday.
Biased,shredded,Entirely factual,23,Senate Majority Leader Mitch McConnell shredded a House Democratic anti-corruption proposal on Wednesday over a provision that would make going to the polls a national holiday.
Biased,shredded,Entirely factual,23,Senate Majority Leader Mitch McConnell shredded a House Democratic anti-corruption proposal on Wednesday over a provision that would make going to the polls a national holiday.
Biased,shredded ,Somewhat factual but also opinionated,23,Senate Majority Leader Mitch McConnell shredded a House Democratic anti-corruption proposal on Wednesday over a provision that would make going to the polls a national holiday.
Biased,shredded,Expresses writer’s opinion,23,Senate Majority Leader Mitch McConnell shredded a House Democratic anti-corruption proposal on Wednesday over a provision that would make going to the polls a national holiday.
Non-biased,anti-corruption,Entirely factual,23,Senate Majority Leader Mitch McConnell shredded a House Democratic anti-corruption proposal on Wednesday over a provision that would make going to the polls a national holiday.
Biased,a national holiday,Expresses writer’s opinion,23,Senate Majority Leader Mitch McConnell shredded a House Democratic anti-corruption proposal on Wednesday over a provision that would make going to the polls a national holiday.
Non-biased,discriminating ,Entirely factual,3,Omar believes USA Powerlifting is discriminating against males who identify as transgender women
Biased,believes ,Somewhat factual but also opinionated,3,Omar believes USA Powerlifting is discriminating against males who identify as transgender women
Non-biased,“myth”,Expresses writer’s opinion,3,Omar believes USA Powerlifting is discriminating against males who identify as transgender women
Biased,myth,Expresses writer’s opinion,3,Omar believes USA Powerlifting is discriminating against males who identify as transgender women
Biased,myth”,Expresses writer’s opinion,3,Omar believes USA Powerlifting is discriminating against males who identify as transgender women
Biased, “myth”,Somewhat factual but also opinionated,3,Omar believes USA Powerlifting is discriminating against males who identify as transgender women
Biased,demand adoption,Somewhat factual but also opinionated,24,We speak with Varshini Prakash
Biased,lobbied ,Somewhat factual but also opinionated,24,We speak with Varshini Prakash
Biased,congressional ,Expresses writer’s opinion,24,We speak with Varshini Prakash
Biased,bold,Entirely factual,24,We speak with Varshini Prakash
Non-biased,occupied and lobbied ,Entirely factual,24,We speak with Varshini Prakash
Non-biased,bold,Somewhat factual but also opinionated,24,We speak with Varshini Prakash
Non-biased,slow,Entirely factual,58,White nationalism-fueled violence is on the rise
Non-biased,is slow,Somewhat factual but also opinionated,58,White nationalism-fueled violence is on the rise
Non-biased,White nationalism,Somewhat factual but also opinionated,58,White nationalism-fueled violence is on the rise
Biased,totally cray-cray,Expresses writer’s opinion,24,Over the past few decades
Non-biased,jacked,Entirely factual,24,Over the past few decades
Biased,cray-cray,Expresses writer’s opinion,24,Over the past few decades
Biased,the guy is totally cray-cray.,Expresses writer’s opinion,24,Over the past few decades
Biased,cray-cray,Expresses writer’s opinion,24,Over the past few decades
Biased,strange,Expresses writer’s opinion,79,What is new is the direct indictment of white people as a race. This happened through a strange rhetorical transformation over the past few years.
Biased,white people,Expresses writer’s opinion,79,What is new is the direct indictment of white people as a race. This happened through a strange rhetorical transformation over the past few years.
Non-biased,strange,Somewhat factual but also opinionated,79,What is new is the direct indictment of white people as a race. This happened through a strange rhetorical transformation over the past few years.
