label_bias,words,label_opinion,group_id,text
Non-biased,,Entirely factual,63,Just a few weeks later
Non-biased,,Entirely factual,1,Thousands of fetal remains that were found at an abortion doctor's suburban Chicago garage last year were buried Wednesday at an Indiana cemetery. 
Biased,abortion ,Entirely factual,1,Thousands of fetal remains that were found at an abortion doctor's suburban Chicago garage last year were buried Wednesday at an Indiana cemetery. 
Non-biased,,Entirely factual,1,Thousands of fetal remains that were found at an abortion doctor's suburban Chicago garage last year were buried Wednesday at an Indiana cemetery. 
Non-biased,,Somewhat factual but also opinionated,1,Thousands of fetal remains that were found at an abortion doctor's suburban Chicago garage last year were buried Wednesday at an Indiana cemetery. 
Non-biased,,Entirely factual,1,Thousands of fetal remains that were found at an abortion doctor's suburban Chicago garage last year were buried Wednesday at an Indiana cemetery. 
Non-biased,,Entirely factual,1,Thousands of fetal remains that were found at an abortion doctor's suburban Chicago garage last year were buried Wednesday at an Indiana cemetery. 
Non-biased,abortion ,Entirely factual,1,Thousands of fetal remains that were found at an abortion doctor's suburban Chicago garage last year were buried Wednesday at an Indiana cemetery. 
Non-biased,,Entirely factual,1,Thousands of fetal remains that were found at an abortion doctor's suburban Chicago garage last year were buried Wednesday at an Indiana cemetery. 
Biased,Thousands,,,
Non-biased,,Entirely factual,1,Thousands of fetal remains that were found at an abortion doctor's suburban Chicago garage last year were buried Wednesday at an Indiana cemetery. 
Non-biased,,Entirely factual,1,Thousands of fetal remains that were found at an abortion doctor's suburban Chicago garage last year were buried Wednesday at an Indiana cemetery. 
Biased,urged,,,
Non-biased,,Entirely factual,31,President Donald Trump urged lawmakers in his State of the Union address to put new limits on abortion
Non-biased,,Entirely factual,31,President Donald Trump urged lawmakers in his State of the Union address to put new limits on abortion
Non-biased,,Entirely factual,31,President Donald Trump urged lawmakers in his State of the Union address to put new limits on abortion
Non-biased,,Entirely factual,31,President Donald Trump urged lawmakers in his State of the Union address to put new limits on abortion
Non-biased,divisive,,,
Non-biased,,Somewhat factual but also opinionated,31,President Donald Trump urged lawmakers in his State of the Union address to put new limits on abortion
Biased,divisive,,,
Non-biased,divisive,Entirely factual,31,President Donald Trump urged lawmakers in his State of the Union address to put new limits on abortion
Non-biased, urged,,,
Non-biased,abortion,,,
Non-biased,,Entirely factual,31,President Donald Trump urged lawmakers in his State of the Union address to put new limits on abortion
Non-biased,,Entirely factual,52,Ankara launched a cross-border attack against Syria’s Kurds on October 9 after the United States announced a military pullout from the north of the war-torn country.
Biased,war-torn,Entirely factual,52,Ankara launched a cross-border attack against Syria’s Kurds on October 9 after the United States announced a military pullout from the north of the war-torn country.
Non-biased,,Entirely factual,52,Ankara launched a cross-border attack against Syria’s Kurds on October 9 after the United States announced a military pullout from the north of the war-torn country.
Non-biased,,Entirely factual,52,Ankara launched a cross-border attack against Syria’s Kurds on October 9 after the United States announced a military pullout from the north of the war-torn country.
Non-biased,war-torn,Entirely factual,52,Ankara launched a cross-border attack against Syria’s Kurds on October 9 after the United States announced a military pullout from the north of the war-torn country.
Non-biased,attack,,,
Non-biased,,Expresses writer’s opinion,52,Ankara launched a cross-border attack against Syria’s Kurds on October 9 after the United States announced a military pullout from the north of the war-torn country.
Non-biased,war-torn,Somewhat factual but also opinionated,52,Ankara launched a cross-border attack against Syria’s Kurds on October 9 after the United States announced a military pullout from the north of the war-torn country.
Non-biased,,Entirely factual,52,Ankara launched a cross-border attack against Syria’s Kurds on October 9 after the United States announced a military pullout from the north of the war-torn country.
Biased, war-torn,Somewhat factual but also opinionated,52,Ankara launched a cross-border attack against Syria’s Kurds on October 9 after the United States announced a military pullout from the north of the war-torn country.
Biased,lazy narcissist,,,
Biased,lazy narcissist,,,
Biased,lazy,,,
Non-biased,,Expresses writer’s opinion,80,For a lazy narcissist like Trump
Biased,lazy,,,
Biased,lazy narcissist ,Somewhat factual but also opinionated,80,For a lazy narcissist like Trump
Biased,lazy narcissist,,,
Biased,lazy narcissist,,,
Biased, lazy narcissist,Expresses writer’s opinion,80,For a lazy narcissist like Trump
Biased,narcissist,Somewhat factual but also opinionated,80,For a lazy narcissist like Trump
Biased,useless,,,
Biased, useless,,,
Biased, useless,,,
Biased,uninteresting,,,
Biased,Never Trump,,,
Biased,useless,,,
Biased,useless,,,
Biased,useless,,,
Biased,useless and uninteresting,Expresses writer’s opinion,76,Just off the top of my head
Biased,useless,,,
Biased,useless,,,
Biased,defended,,,
Biased,defended ,Somewhat factual but also opinionated,60,The White House did not respond to requests for comment. The White House has defended Miller in previous statements to media
Biased,defended,,,
Non-biased,,Entirely factual,60,The White House did not respond to requests for comment. The White House has defended Miller in previous statements to media
Non-biased,defended ,Entirely factual,60,The White House did not respond to requests for comment. The White House has defended Miller in previous statements to media
Biased,raising Miller’s Jewish background,Expresses writer’s opinion,60,The White House did not respond to requests for comment. The White House has defended Miller in previous statements to media
Non-biased,,Entirely factual,60,The White House did not respond to requests for comment. The White House has defended Miller in previous statements to media
Non-biased,,Entirely factual,60,The White House did not respond to requests for comment. The White House has defended Miller in previous statements to media
Biased,defended ,Somewhat factual but also opinionated,60,The White House did not respond to requests for comment. The White House has defended Miller in previous statements to media
Non-biased,,Entirely factual,60,The White House did not respond to requests for comment. The White House has defended Miller in previous statements to media
Non-biased,,Somewhat factual but also opinionated,80,When carrying a firearm
Non-biased,,Somewhat factual but also opinionated,80,When carrying a firearm
Biased,ultimate,Somewhat factual but also opinionated,80,When carrying a firearm
Non-biased,,Somewhat factual but also opinionated,80,When carrying a firearm
Non-biased,,Somewhat factual but also opinionated,80,When carrying a firearm
Non-biased,,Entirely factual,80,When carrying a firearm
Biased,ultimate power,Somewhat factual but also opinionated,80,When carrying a firearm
Non-biased,ultimate power,Entirely factual,80,When carrying a firearm
Biased,ultimate,Somewhat factual but also opinionated,80,When carrying a firearm
Non-biased, ultimate power,Entirely factual,80,When carrying a firearm
Non-biased,stricter,Entirely factual,53,New Zealand Prime Minister Jacinda Ardern last month said she’s baffled by America’s failure to pass stricter gun laws
Biased,baffled,Somewhat factual but also opinionated,53,New Zealand Prime Minister Jacinda Ardern last month said she’s baffled by America’s failure to pass stricter gun laws
Non-biased,,Entirely factual,53,New Zealand Prime Minister Jacinda Ardern last month said she’s baffled by America’s failure to pass stricter gun laws
Biased, Jacinda Ardern,Expresses writer’s opinion,53,New Zealand Prime Minister Jacinda Ardern last month said she’s baffled by America’s failure to pass stricter gun laws
Biased,baffled,Somewhat factual but also opinionated,53,New Zealand Prime Minister Jacinda Ardern last month said she’s baffled by America’s failure to pass stricter gun laws
Non-biased,,Entirely factual,53,New Zealand Prime Minister Jacinda Ardern last month said she’s baffled by America’s failure to pass stricter gun laws
Non-biased,,Entirely factual,53,New Zealand Prime Minister Jacinda Ardern last month said she’s baffled by America’s failure to pass stricter gun laws
Biased,failure,Somewhat factual but also opinionated,53,New Zealand Prime Minister Jacinda Ardern last month said she’s baffled by America’s failure to pass stricter gun laws
Biased,baffled,,,
Biased,baffled ,Somewhat factual but also opinionated,53,New Zealand Prime Minister Jacinda Ardern last month said she’s baffled by America’s failure to pass stricter gun laws
Biased,baffled,Entirely factual,53,New Zealand Prime Minister Jacinda Ardern last month said she’s baffled by America’s failure to pass stricter gun laws
Biased,baffled by America’s failure,,,
Biased,evils,Somewhat factual but also opinionated,46,Ocasio-Cortez used this weekend’s news cycle to continue highlighting the evils of wealth inequality
Biased,evils,,,
Biased,evils,Somewhat factual but also opinionated,46,Ocasio-Cortez used this weekend’s news cycle to continue highlighting the evils of wealth inequality
Biased,evils of wealth inequality,,,
Biased,evils of wealth,Somewhat factual but also opinionated,46,Ocasio-Cortez used this weekend’s news cycle to continue highlighting the evils of wealth inequality
Biased,wealth inequality,Somewhat factual but also opinionated,46,Ocasio-Cortez used this weekend’s news cycle to continue highlighting the evils of wealth inequality
Biased,the evils ,Somewhat factual but also opinionated,46,Ocasio-Cortez used this weekend’s news cycle to continue highlighting the evils of wealth inequality
Biased,evils,,,
Biased,evils,Expresses writer’s opinion,46,Ocasio-Cortez used this weekend’s news cycle to continue highlighting the evils of wealth inequality
Biased,evils,Somewhat factual but also opinionated,46,Ocasio-Cortez used this weekend’s news cycle to continue highlighting the evils of wealth inequality
Biased,in my view,,,
Biased,borrowed,,,
Non-biased,,Entirely factual,38,The second side is represented by lenders
Biased,little,Expresses writer’s opinion,38,The second side is represented by lenders
Non-biased,,Somewhat factual but also opinionated,38,The second side is represented by lenders
Biased, lenders,,,
Biased,in my view,,,
Biased,in my view,Expresses writer’s opinion,38,The second side is represented by lenders
Non-biased, second ,Expresses writer’s opinion,38,The second side is represented by lenders
Non-biased,LGBTQ-hostile,Entirely factual,48,It would indeed be out of character for the Trump administration to take any firm stand against criminalizing homosexuality
Biased,hostile,Somewhat factual but also opinionated,48,It would indeed be out of character for the Trump administration to take any firm stand against criminalizing homosexuality
Biased,hostile,,,
Biased,LGBTQ-hostile,Somewhat factual but also opinionated,48,It would indeed be out of character for the Trump administration to take any firm stand against criminalizing homosexuality
Biased,most LGBTQ-hostile,Expresses writer’s opinion,48,It would indeed be out of character for the Trump administration to take any firm stand against criminalizing homosexuality
Biased,LGBTQ-hostile,Expresses writer’s opinion,48,It would indeed be out of character for the Trump administration to take any firm stand against criminalizing homosexuality
Biased,LGBTQ-hostile,Somewhat factual but also opinionated,48,It would indeed be out of character for the Trump administration to take any firm stand against criminalizing homosexuality
Biased, despite ,Expresses writer’s opinion,48,It would indeed be out of character for the Trump administration to take any firm stand against criminalizing homosexuality
Non-biased,most LGBTQ-hostile,,,
Biased,sobering,,,
Biased,efficiency and anonymity,Expresses writer’s opinion,82,The ADL report represents a sobering warning about the reach of white supremacist groups
Biased,a sobering warning,Expresses writer’s opinion,82,The ADL report represents a sobering warning about the reach of white supremacist groups
Non-biased,sobering ,Somewhat factual but also opinionated,82,The ADL report represents a sobering warning about the reach of white supremacist groups
Non-biased,,Entirely factual,82,The ADL report represents a sobering warning about the reach of white supremacist groups
Biased,sobering warning,,,
Biased,supremacist groups,,,
Biased,sobering,,,
Biased,sobering,,,
Non-biased,sobering,Entirely factual,82,The ADL report represents a sobering warning about the reach of white supremacist groups
Biased,gangs,,,
Non-biased,exploit,,,
Biased,fears,,,
Biased,fears,,,
Biased,exploit,,,
Biased,exploit,,,
Non-biased,,Entirely factual,50,That has led to fears that gangs could exploit undocumented migrants already in the country for cheap labor
Biased, slavery,,,
Non-biased,,Entirely factual,50,That has led to fears that gangs could exploit undocumented migrants already in the country for cheap labor
Biased,fears,,,
Non-biased,exploit,Entirely factual,50,That has led to fears that gangs could exploit undocumented migrants already in the country for cheap labor
Biased,exploit,,,
Biased,bragging,,,
Biased,bragging,Entirely factual,41,The 2010s saw the U.S. economy achieve its longest-ever expansion
Biased,longest-ever expansion,,,
Non-biased,notable,,,
Non-biased,,Somewhat factual but also opinionated,41,The 2010s saw the U.S. economy achieve its longest-ever expansion
Biased,unemployment rate,Expresses writer’s opinion,41,The 2010s saw the U.S. economy achieve its longest-ever expansion
Biased,notable,,,
Biased,easy,Expresses writer’s opinion,41,The 2010s saw the U.S. economy achieve its longest-ever expansion
Biased,notable milestones,,,
Biased,easy bragging points,Somewhat factual but also opinionated,41,The 2010s saw the U.S. economy achieve its longest-ever expansion
Biased,not rocket science,Somewhat factual but also opinionated,83,Closing the gender pay gap is not rocket science – even though recently graduated female rocket scientists earn 89 cents on the dollar to their male peers.
Biased,rocket science,Somewhat factual but also opinionated,83,Closing the gender pay gap is not rocket science – even though recently graduated female rocket scientists earn 89 cents on the dollar to their male peers.
Non-biased,,Entirely factual,83,Closing the gender pay gap is not rocket science – even though recently graduated female rocket scientists earn 89 cents on the dollar to their male peers.
Biased,rocket science,Somewhat factual but also opinionated,83,Closing the gender pay gap is not rocket science – even though recently graduated female rocket scientists earn 89 cents on the dollar to their male peers.
Non-biased,rocket science,Somewhat factual but also opinionated,83,Closing the gender pay gap is not rocket science – even though recently graduated female rocket scientists earn 89 cents on the dollar to their male peers.
Non-biased,,Entirely factual,83,Closing the gender pay gap is not rocket science – even though recently graduated female rocket scientists earn 89 cents on the dollar to their male peers.
Biased,rocket science,Somewhat factual but also opinionated,83,Closing the gender pay gap is not rocket science – even though recently graduated female rocket scientists earn 89 cents on the dollar to their male peers.
Biased,graduated,,,
Non-biased,,Somewhat factual but also opinionated,83,Closing the gender pay gap is not rocket science – even though recently graduated female rocket scientists earn 89 cents on the dollar to their male peers.
Biased,rocket science,Somewhat factual but also opinionated,83,Closing the gender pay gap is not rocket science – even though recently graduated female rocket scientists earn 89 cents on the dollar to their male peers.
Biased,Trump,,,
Biased,mocked ,Expresses writer’s opinion,27,President Donald Trump in an interview on Tuesday mocked former Vice President Joe Biden for continuing to wear a mask. The president pointed to a speech that Biden gave on Tuesday about race relations
Biased,mocked,Somewhat factual but also opinionated,27,President Donald Trump in an interview on Tuesday mocked former Vice President Joe Biden for continuing to wear a mask. The president pointed to a speech that Biden gave on Tuesday about race relations
Biased, race relations,,,
Biased,mocked ,Somewhat factual but also opinionated,27,President Donald Trump in an interview on Tuesday mocked former Vice President Joe Biden for continuing to wear a mask. The president pointed to a speech that Biden gave on Tuesday about race relations
Non-biased,,Somewhat factual but also opinionated,27,President Donald Trump in an interview on Tuesday mocked former Vice President Joe Biden for continuing to wear a mask. The president pointed to a speech that Biden gave on Tuesday about race relations
Non-biased,mocked ,Entirely factual,27,President Donald Trump in an interview on Tuesday mocked former Vice President Joe Biden for continuing to wear a mask. The president pointed to a speech that Biden gave on Tuesday about race relations
Biased,mocked ,Expresses writer’s opinion,27,President Donald Trump in an interview on Tuesday mocked former Vice President Joe Biden for continuing to wear a mask. The president pointed to a speech that Biden gave on Tuesday about race relations
Biased,mocked,Somewhat factual but also opinionated,27,President Donald Trump in an interview on Tuesday mocked former Vice President Joe Biden for continuing to wear a mask. The president pointed to a speech that Biden gave on Tuesday about race relations
Biased,mocked,Expresses writer’s opinion,27,President Donald Trump in an interview on Tuesday mocked former Vice President Joe Biden for continuing to wear a mask. The president pointed to a speech that Biden gave on Tuesday about race relations
